GEOID,COUNTY,POP_TOT,MALE_POP,FEMALE_POP,GDP,DEGREE_TOT,BACHELOR,MASTER,PROFFE,DOCTOR,TOT_NO_INS,MALE_INS,FEMALE_INS,BOTH_INS,TOT_POV,MALE_POV,FEMALE_POV,TOT_COMM,OTHER_COMM,preciMax,maxTemp,PER_PROF,PER_POV,POP_GRAD,PER_NO_INS,PER_COMM,PER_MALE
01047,"Dallas County, Alabama",40755,18809,21946,18248,26849,2181,1275,252,101,40454,2595,2304,4899,12795,5198,7597,14063,151,10.66,92.4,3.9946018893387314,31.39492086860508,1628,99.26144031407189,34.50619555882714,0.4615139246718194
01049,"DeKalb County, Alabama",71194,35328,35866,20020,47694,3638,1875,428,261,70448,5559,5061,10620,15115,6558,8557,28110,135,8.6,87.3,3.6014270865522375,21.23072169003006,2564,98.95215888979408,39.48366435373767,0.49622159170716634
01051,"Elmore County, Alabama",80989,39357,41632,26251,55278,7983,3614,603,429,75789,3327,2526,5853,10299,4318,5981,32647,98,11.72,91.6,5.736581511069405,12.716541752583684,4646,93.57937497684871,40.31041252515774,0.48595488276185655
01053,"Escambia County, Alabama",37621,19326,18295,18164,25896,1956,848,238,104,34883,2476,2978,5454,8281,3574,4707,11916,47,15.57,91,3.1631269769543606,22.01164243374711,1190,92.72214986310837,31.67379920788921,0.5137024534169745
01055,"Etowah County, Alabama",103132,49738,53394,22278,71745,7435,3328,918,438,102339,6649,5340,11989,18166,7814,10352,40402,173,7.91,89.8,4.541752317418454,17.61431951285731,4684,99.23108249621843,39.17503781561494,0.4822751425357794
01057,"Fayette County, Alabama",16657,8191,8466,21191,11715,1178,463,34,37,16468,769,605,1374,2967,1311,1656,6203,33,7.97,90.9,3.2058593984511017,17.8123311520682,534,98.86534189830101,37.23959896740109,0.49174521222308937
01059,"Franklin County, Alabama",31507,15818,15689,19314,20734,1722,788,142,126,31272,1734,2023,3757,7175,3234,3941,12456,275,7.84,89.1,3.3516361443488747,22.772717173961343,1056,99.25413400196781,39.53407179356968,0.5020471641222586
01061,"Geneva County, Alabama",26572,13008,13564,21084,18666,1407,603,66,0,26211,1917,1731,3648,5903,2586,3317,10204,208,11.44,91.3,2.5176877916603946,22.215113653469817,669,98.6414270660846,38.401324702694566,0.4895378594008731
01063,"Greene County, Alabama",8533,4058,4475,14197,5830,486,125,15,37,8480,652,462,1114,3293,1539,1754,2402,42,10.78,91.6,2.074299777335052,38.59135122465721,177,99.37888198757764,28.14953709129263,0.47556545177546
01065,"Hale County, Alabama",14995,7049,7946,20269,10161,1008,286,136,34,14762,859,717,1576,3852,1549,2303,5148,62,11.06,91.4,3.0410136712237414,25.68856285428476,456,98.44614871623875,34.33144381460487,0.4700900300100033
01067,"Henry County, Alabama",17110,8208,8902,23983,12123,1087,835,117,35,16828,1004,815,1819,2310,1135,1175,6865,225,12.3,91.9,5.768556399766219,13.500876680303916,987,98.35184102863822,40.12273524254822,0.4797194623027469
01069,"Houston County, Alabama",104108,49905,54203,24781,71238,9418,3939,1058,488,103300,6118,5258,11376,19030,8135,10895,43572,242,11.55,91.4,5.268567257079187,18.279094786183578,5485,99.22388289084412,41.85269143581665,0.4793579744111884
01071,"Jackson County, Alabama",52326,25712,26614,20946,37016,3192,1331,161,272,51817,3105,2413,5518,9827,4533,5294,19975,152,8.36,88.2,3.371173030615755,18.780338646179718,1764,99.02725222642664,38.174139051332034,0.49138095784122615
01073,"Jefferson County, Alabama",659460,312333,347127,29456,447048,86862,34310,13878,7629,652283,35896,30988,66884,113368,49345,64023,295958,2067,11.62,90.6,8.464046340945622,17.191035089315502,55817,98.91168531829072,44.878840263245685,0.4736193249021927
01075,"Lamar County, Alabama",14021,6875,7146,21152,9938,880,365,28,44,13856,673,800,1473,3191,1355,1836,5317,0,7.17,91.8,3.1167534412666713,22.758719064260752,437,98.82319378075744,37.921688895228584,0.49033592468440196
01077,"Lauderdale County, Alabama",92590,44263,48327,25803,63168,8710,4096,667,757,91721,4934,4473,9407,14701,6256,8445,39262,125,6.42,90.5,5.961766929474026,15.87752457068798,5520,99.06145372070418,42.40414731612485,0.47805378550599414
01079,"Lawrence County, Alabama",33288,16164,17124,22419,23370,1671,605,62,42,33050,1814,1399,3213,5490,2389,3101,12300,55,6.38,89.1,2.129896659456861,16.49242970439798,709,99.28502763758712,36.95025234318673,0.4855803893294881
01081,"Lee County, Alabama",156597,77172,79425,26170,92452,18261,9345,1694,2922,154952,7131,6279,13410,33132,14975,18157,70876,346,10.76,90.1,8.915241032714547,21.15749343857162,13961,98.9495328773859,45.26012631148745,0.49280637560106516
01083,"Limestone County, Alabama",91695,45889,45806,26685,63026,10410,4085,553,446,88681,5306,4586,9892,13138,5570,7568,38648,191,6.84,89.2,5.544468073504553,14.327935001908502,5084,96.71301597687987,42.14842684988276,0.5004525873820819
01085,"Lowndes County, Alabama",10362,4896,5466,18976,7065,671,246,33,21,10268,736,528,1264,3095,1413,1682,3421,61,11.66,92.2,2.895193977996526,29.868751206330824,300,99.09283922022776,33.01486199575371,0.472495657209033
01087,"Macon County, Alabama",19358,8933,10425,19564,12280,1332,801,165,168,19141,1219,713,1932,4380,1883,2497,7178,87,11.42,91.4,5.858043186279574,22.626304370286185,1134,98.87901642731687,37.08027688810827,0.4614629610496952
01089,"Madison County, Alabama",353213,172568,180645,34232,239756,60410,28926,3758,4228,348398,17669,16115,33784,46925,20787,26138,167817,1830,7.41,89.4,10.450351487629277,13.285184860126892,36912,98.63679989128373,47.511558181607136,0.48856638911931327
01091,"Marengo County, Alabama",19743,9235,10508,22996,13557,1315,611,83,80,19526,1196,888,2084,5000,2116,2884,6542,151,11.46,92.1,3.9203768424251635,25.325431798612165,774,98.90087625994023,33.13579496530416,0.4677607253203667
01093,"Marion County, Alabama",30058,14880,15178,21835,21406,1784,970,104,20,29540,1420,1409,2829,5175,2432,2743,11629,159,7.16,89.8,3.6396300485727595,17.21671435225231,1094,98.27666511411272,38.688535498037126,0.495042917027081
01095,"Marshall County, Alabama",94738,46771,47967,22710,63248,7353,3036,512,311,93913,7590,6864,14454,19654,8424,11230,37835,126,8.44,88.7,4.073339103633177,20.74563533112373,3859,99.1291773100551,39.936456332200386,0.4936878549262176
01097,"Mobile County, Alabama",414328,197968,216360,24347,275878,42066,15743,3606,2130,406941,24792,24277,49069,78256,32827,45429,171077,1134,14.9,90.3,5.1840570755536675,18.88745148771022,21479,98.21711301191327,41.29023382440965,0.47780502403892566
01099,"Monroe County, Alabama",21745,10355,11390,17264,14794,1079,576,67,121,21518,1494,1727,3221,7249,3208,4041,6111,66,13.64,91.1,3.5134513681306045,33.3363991722235,764,98.95608185789837,28.103012186709588,0.47620142561508394
01101,"Montgomery County, Alabama",227120,107470,119650,26712,149318,28898,13859,3348,2058,222268,13243,11439,24682,45863,19394,26469,99969,499,12.3,92.2,8.48230010567101,20.19328989080662,19265,97.86368439591405,44.015938710813664,0.47318598097921805
01103,"Morgan County, Alabama",119157,58761,60396,25013,82094,11822,4040,897,383,117243,6715,6418,13133,19448,8267,11181,49709,310,7.12,89.4,4.464697835628624,16.321323967538625,5320,98.39371585387346,41.717230208884075,0.49313930360784514
01105,"Perry County, Alabama",9680,4630,5050,13449,5858,512,401,11,67,9532,692,665,1357,3706,1882,1824,2439,106,11.61,91.9,4.948347107438017,38.28512396694215,479,98.47107438016529,25.196280991735538,0.47830578512396693
01107,"Pickens County, Alabama",20170,9601,10569,20089,14241,1248,355,46,30,18987,979,718,1697,4340,1742,2598,6775,22,8.27,92.4,2.136836886465047,21.51710461080813,431,94.13485374318294,33.58948934060486,0.4760039662865642
01109,"Pike County, Alabama",33287,15897,17390,20808,19657,2930,1417,149,364,33081,1588,1334,2922,8224,3678,4546,14028,61,13.68,90.9,5.798059302430378,24.70634181512302,1930,99.38113978430017,42.14257818367531,0.47757382762039235
01111,"Randolph County, Alabama",22530,10998,11532,20983,15594,1415,725,89,40,22276,1408,1321,2729,4102,1875,2227,8400,81,11.14,89.5,3.7905015534842432,18.206835330670216,854,98.87261429205503,37.28362183754993,0.4881491344873502
01113,"Russell County, Alabama",58480,28424,30056,21279,38710,4092,2012,251,181,56790,4290,3546,7836,12024,5249,6775,23772,167,11.31,91.2,4.179206566347469,20.560875512995896,2444,97.11012311901504,40.64979480164158,0.48604651162790696
01115,"St. Clair County, Alabama",86937,43469,43468,24686,60248,6366,2391,443,443,85000,3373,3311,6684,11656,5194,6462,37923,426,10.04,90.3,3.769396229453512,13.407409963536814,3277,97.77194980273072,43.62124296904655,0.5000057512911649
01117,"Shelby County, Alabama",208721,101420,107301,35330,141263,39369,15003,3304,1983,207053,8516,6834,15350,17127,7438,9689,102784,516,11.96,90.5,9.721110956731714,8.205690850465453,20290,99.20084706378371,49.24468548924162,0.4859118152941007
01119,"Sumter County, Alabama",13084,6033,7051,14739,8244,872,537,52,41,12946,1079,1111,2190,4398,1842,2556,4239,0,10.28,91.9,4.81504127178233,33.61357383063283,630,98.94527667380007,32.39834912870682,0.46109752369306023
01121,"Talladega County, Alabama",80888,39140,41748,21382,56103,4620,2296,474,216,77941,4276,3661,7937,14946,6613,8333,30156,194,11.46,90.5,3.691524082682227,18.477400850558798,2986,96.35669073286519,37.281178914054,0.48387894372465634
01123,"Tallapoosa County, Alabama",40756,19616,21140,22430,28609,3474,1265,321,150,40211,1857,1906,3763,8532,3554,4978,15124,131,10.3,90.6,4.259495534399843,20.934340955932868,1736,98.66277357935029,37.10864657964471,0.481303366375503
01125,"Tuscaloosa County, Alabama",204424,98725,105699,24895,125145,23230,10010,1987,2598,202930,9694,7858,17552,33597,14289,19308,89791,328,11.59,91.1,7.139572652917465,16.43495871326263,14595,99.26916604703949,43.923903259891205,0.4829423159707275
01127,"Walker County, Alabama",64927,31709,33218,21217,45197,3014,1451,442,103,64196,3930,3523,7453,13754,6263,7491,23873,158,9.08,90.3,3.074221818349839,21.183791026845533,1996,98.87412016572458,36.76898670814915,0.4883792567036826
01129,"Washington County, Alabama",16746,8342,8404,23239,11607,785,358,95,0,16621,694,889,1583,3644,1554,2090,5612,73,18.86,90.4,2.7051236116087423,21.760420398901232,453,99.25355308730443,33.51248059238027,0.498148811656515
01131,"Wilcox County, Alabama",10919,5096,5823,15774,7242,578,204,59,27,10621,771,811,1582,3371,1385,1986,2888,6,11.72,91.9,2.655920871874714,30.872790548585034,290,97.27081234545288,26.44930854473853,0.46670940562322555
01133,"Winston County, Alabama",23968,11850,12118,20580,17255,1354,620,146,110,23646,1489,1289,2778,4395,1736,2659,8476,123,7.18,88.7,3.6548731642189587,18.336949265687583,876,98.65654205607477,35.36381842456609,0.4944092122830441
04001,"Apache County, Arizona",71602,35355,36247,13865,43766,3340,1347,112,221,70807,8745,7503,16248,25225,12301,12924,18014,164,2.51,88.5,2.3463031758889414,35.229462864165804,1680,98.88969581855255,25.15851512527583,0.4937711237116282
04003,"Cochise County, Arizona",126516,64094,62422,24896,87509,12916,6288,897,575,115099,5141,5218,10359,21054,8833,12221,46348,583,4.67,97.8,6.133611559012299,16.64137342312435,7760,90.97584495241709,36.63410161560593,0.5066078598754308
04005,"Coconino County, Arizona",138639,68264,70375,25722,80822,16933,8170,1602,1917,137820,10309,8532,18841,26719,12905,13814,64026,618,2.74,91.2,8.431249504107791,19.272354820793574,11689,99.40925713543808,46.181810313115356,0.4923867021545164
04007,"Gila County, Arizona",53145,26284,26861,22433,38632,4513,2042,463,323,52401,3456,3049,6505,11427,5251,6176,17501,147,5.09,95.2,5.321290808166338,21.50155235675981,2828,98.60005644933672,32.93066139806191,0.4945714554520651
04009,"Graham County, Arizona",37700,20233,17467,17874,23350,2120,940,172,65,33658,1650,1321,2971,7089,3111,3978,11911,109,4.33,96.7,3.1220159151193636,18.80371352785146,1177,89.27851458885942,31.594164456233422,0.5366843501326259
04011,"Greenlee County, Arizona",9368,4997,4371,24935,5834,560,123,11,13,9325,404,302,706,1069,509,560,3656,27,3.67,91.4,1.5691716481639624,11.411187019641332,147,99.54099060631938,39.026473099914604,0.5334116140051238
04012,"La Paz County, Arizona",20477,10530,9947,21707,15536,1145,457,34,110,20309,1291,1208,2499,3971,1872,2099,6357,21,1.41,106.8,2.935000244176393,19.39248913415051,601,99.17956731943156,31.044586609366608,0.5142354837134346
04013,"Maricopa County, Arizona",4155501,2055464,2100037,30186,2730613,546841,226449,52841,32641,4125142,278633,229259,507892,644476,299424,345052,1902120,21587,1.77,106,7.506459509936347,15.508984355917613,311931,99.26942623765461,45.77354210719718,0.4946368680936426
04015,"Mohave County, Arizona",204691,103175,101516,23527,153930,12194,4604,1544,634,200916,13703,11057,24760,37080,17533,19547,68100,802,2.64,98.1,3.3132868567743574,18.115110092773985,6782,98.15575672599186,33.26966012184219,0.5040524497901715
04017,"Navajo County, Arizona",107902,54037,53865,17685,68236,6428,3177,497,447,105552,8885,7089,15974,30548,13969,16579,32554,604,2.67,91.1,3.8192063168430614,28.310874682582345,4121,97.82209782951196,30.16996904598617,0.5007970195177105
04019,"Pima County, Arizona",1007257,495714,511543,27323,666989,121598,60484,15099,13699,987178,57881,50296,108177,179569,82744,96825,428675,5112,3.46,103.1,8.863874860139964,17.82752564638419,89282,98.00656634801247,42.55865186342711,0.4921425217198788
04021,"Pinal County, Arizona",405537,211665,193872,22944,276364,32987,14490,1903,1933,380940,21267,17879,39146,58750,27126,31624,142275,1617,3.12,103.9,4.518946483304853,14.486964198087968,18326,93.93470879352562,35.083112021837714,0.5219375790618366
04023,"Santa Cruz County, Arizona",46358,22229,24129,19482,28877,4380,1440,418,157,46024,2909,2911,5820,10049,4602,5447,17246,222,6.78,96.2,4.3466068424004485,21.676948962422884,2015,99.2795202554036,37.20177747098667,0.4795073126536952
04025,"Yavapai County, Arizona",220972,108100,112872,27504,168134,24698,12227,3061,2082,219401,13310,11479,24789,31859,14701,17158,81737,643,3.72,96.4,7.860724435675108,14.41766377640606,17370,99.28905019640497,36.98975435801821,0.48920225186901506
04027,"Yuma County, Arizona",204281,104914,99367,20600,127583,11782,5071,1035,407,197418,15900,13821,29721,39161,17517,21644,76330,561,1.37,107.4,3.188255393306279,19.170162668089542,6513,96.64041198153524,37.36519793813424,0.5135768867393443
05001,"Arkansas County, Arkansas",18352,8785,9567,23766,12722,1241,447,30,75,18112,905,616,1521,3735,1527,2208,7763,63,6.39,90.5,3.007846556233653,20.352005231037488,552,98.6922406277245,42.30056669572799,0.4786944202266783
05003,"Ashley County, Arkansas",20771,10126,10645,20703,14166,1333,462,57,47,20610,1128,1163,2291,4368,1998,2370,7782,187,9.56,92.3,2.724953059554186,21.02931972461605,566,99.2248808434837,37.46569736652063,0.48750661980646093
05005,"Baxter County, Arkansas",41093,19857,21236,24737,31590,3914,1437,307,162,40681,1817,1257,3074,5117,2620,2497,15499,61,12.25,88.9,4.638259557588884,12.452242474387365,1906,98.9973961501959,37.716886087654835,0.48322098654272017
05007,"Benton County, Arkansas",251823,124632,127191,30611,163405,34624,13101,2769,1238,250348,13390,12457,25847,26096,11820,14276,118846,508,13.54,89.2,6.793660626710031,10.362834212919392,17108,99.41427113488442,47.194259460017555,0.49491905028531946
05009,"Boone County, Arkansas",37212,18198,19014,22288,25897,2721,1185,114,183,36790,1875,1384,3259,5767,2459,3308,15419,102,12.5,88.7,3.982586262495969,15.497688917553477,1482,98.86595721810168,41.4355584220144,0.48903579490486937
05011,"Bradley County, Arkansas",10994,5262,5732,21575,7530,736,304,29,18,10901,791,670,1461,2864,1142,1722,4033,111,8.37,92,3.192650536656358,26.05057303983991,351,99.15408404584319,36.6836456248863,0.47862470438420956
05013,"Calhoun County, Arkansas",5194,2693,2501,22866,3719,302,115,10,30,5136,290,239,529,986,466,520,2185,28,9.16,91.5,2.9842125529457064,18.983442433577203,155,98.88332691567193,42.06777050442819,0.5184828648440508
05015,"Carroll County, Arkansas",27782,13634,14148,21754,19549,2302,1058,145,277,27564,1736,1905,3641,4331,2020,2311,11076,31,12.31,88.7,5.327190267079404,15.58923043697358,1480,99.21531927147073,39.867540133899645,0.4907494060902743
05017,"Chicot County, Arkansas",11008,5401,5607,20560,7711,727,197,55,37,10332,545,642,1187,3041,1206,1835,3648,132,10.78,91.6,2.625363372093023,27.625363372093023,289,93.85901162790698,33.13953488372093,0.4906431686046512
05019,"Clark County, Arkansas",22495,10697,11798,20382,13186,2165,917,145,251,22138,1093,930,2023,4221,1645,2576,10178,59,8.87,91.6,5.836852633918649,18.76416981551456,1313,98.41298066236942,45.245610135585686,0.4755278950877973
05021,"Clay County, Arkansas",15190,7421,7769,19171,10667,725,337,65,10,15054,821,600,1421,3339,1466,1873,6169,31,8.94,90.3,2.7123107307439103,21.981566820276498,412,99.1046741277156,40.61224489795919,0.4885450954575379
05023,"Cleburne County, Arkansas",25361,12494,12867,26189,18802,1800,746,258,178,25022,1644,1210,2854,3829,1561,2268,9878,130,10.27,89.6,4.660699499231103,15.097985095224951,1182,98.66330192027128,38.949568234691064,0.492646189030401
05025,"Cleveland County, Arkansas",8332,4189,4143,23171,5735,641,257,65,12,8229,308,312,620,1589,768,821,3272,62,9.24,91,4.008641382621219,19.071051368218914,334,98.76380220835334,39.27028324531925,0.5027604416706674
05027,"Columbia County, Arkansas",23992,11498,12494,20296,14863,1997,940,102,151,23566,1036,1262,2298,5553,2335,3218,9672,16,8.15,91.3,4.972490830276759,23.145215071690565,1193,98.22440813604535,40.3134378126042,0.479243081027009
05029,"Conway County, Arkansas",20954,10313,10641,22365,14496,1500,599,89,109,20821,953,908,1861,3845,1770,2075,8324,99,9.14,92.3,3.8035697241576787,18.349718430848526,797,99.36527631955713,39.72511215042474,0.4921733320607044
05031,"Craighead County, Arkansas",104246,50774,53472,25594,66594,11235,4398,1108,928,103216,6427,4695,11122,18298,8154,10144,47487,197,8.94,90.4,6.171939450914183,17.5527118546515,6434,99.0119524969783,45.55282696698195,0.48705945551867696
05033,"Crawford County, Arkansas",62119,30587,31532,22104,41681,4184,1372,280,212,61510,3554,3075,6629,10196,4822,5374,25578,46,8.86,91.5,3.0006922197717283,16.413657657077543,1864,99.01962362562179,41.1758077238848,0.4923936315781001
05035,"Crittenden County, Arkansas",49278,23303,25975,20721,31104,3440,1370,279,173,48739,2378,2609,4987,11422,4884,6538,19901,386,6.86,91.2,3.697390316165429,23.178700434270873,1822,98.90620560899387,40.385161735460045,0.4728885100856366
05037,"Cross County, Arkansas",17164,8323,8841,22894,11552,905,556,99,29,16940,771,646,1417,3041,1263,1778,7191,113,9.19,90.6,3.9850850617571663,17.71731531111629,684,98.69494290375204,41.895828478210206,0.48491027732463293
05039,"Dallas County, Arkansas",7585,3639,3946,18309,5331,569,154,26,3,6944,412,332,744,906,382,524,2859,18,10.12,90.6,2.4126565589980222,11.944627554383652,183,91.54911008569545,37.692814765985496,0.4797626895187871
05041,"Desha County, Arkansas",12094,5547,6547,18187,7981,722,241,30,15,12026,578,642,1220,3886,1626,2260,4395,76,8.4,90.2,2.364808996196461,32.13163552174632,286,99.43773772118406,36.34033404994212,0.4586571853811808
05043,"Drew County, Arkansas",18620,9090,9530,20300,11647,1399,526,76,149,18211,969,594,1563,4246,1939,2307,7548,45,10.03,91.3,4.033297529538131,22.80343716433942,751,97.80343716433941,40.537056928034374,0.4881847475832438
05045,"Faulkner County, Arkansas",121282,59387,61895,25240,73744,13732,6045,924,1190,120096,7089,5862,12951,18989,8805,10184,56618,546,10.11,92.3,6.727296713444699,15.656898797843043,8159,99.02211375142231,46.682937286654244,0.48966046074438085
05047,"Franklin County, Arkansas",17803,8674,9129,19988,12127,1060,217,30,64,17492,720,709,1429,3829,1781,2048,6501,36,9.65,91.4,1.7468965904622817,21.507611076784812,311,98.25310340953772,36.516317474582934,0.4872212548446891
05049,"Fulton County, Arkansas",12092,5947,6145,19674,8828,687,359,17,9,11923,744,456,1200,2718,1362,1356,4112,49,10.24,89.4,3.1839232550446575,22.477671187562024,385,98.60238173999339,34.00595434998346,0.4918127687727423
05051,"Garland County, Arkansas",97994,47269,50725,25690,70624,9096,3656,855,618,96780,6842,5848,12690,18300,8685,9615,38978,218,8.89,91.1,5.2339939179949795,18.67461273139172,5129,98.76114864175358,39.7759046472233,0.4823662673224891
05053,"Grant County, Arkansas",18076,8829,9247,25814,12460,1577,616,60,114,17909,667,569,1236,2579,1139,1440,7486,66,8.35,91.8,4.370435937154237,14.267537065722506,790,99.07612303606993,41.414029652578,0.48843770745740206
05055,"Greene County, Arkansas",44197,21806,22391,22094,29424,3204,1216,175,152,43711,2116,1813,3929,6879,2833,4046,18401,110,9.08,90.2,3.491187184650542,15.564404823856822,1543,98.90037785370048,41.634047559789124,0.4933819037491232
05057,"Hempstead County, Arkansas",22154,10380,11774,18817,14441,1228,543,51,65,21909,1223,1037,2260,5539,2267,3272,8655,95,9.83,91.3,2.9746321206102735,25.002256928771327,659,98.89410490204929,39.06743703168728,0.468538412927688
05059,"Hot Spring County, Arkansas",33480,17294,16186,20868,23757,2077,1031,98,76,31439,1608,1863,3471,4941,2185,2756,12982,63,8.17,91.6,3.599163679808841,14.758064516129032,1205,93.90382317801672,38.775388291517324,0.516547192353644
05061,"Howard County, Arkansas",13472,6582,6890,23627,8938,1023,293,51,0,13296,822,742,1564,2790,1169,1621,5438,25,9.95,90.6,2.553444180522565,20.709619952494062,344,98.6935866983373,40.36520190023753,0.4885688836104513
05063,"Independence County, Arkansas",37097,18054,19043,23056,25097,2861,1153,281,227,36603,2177,2012,4189,6628,2594,4034,15116,215,10.36,89.4,4.477451006819958,17.866673855028708,1661,98.6683559317465,40.74723023425075,0.4866700811386365
05065,"Izard County, Arkansas",13521,6971,6550,19737,10150,874,379,23,31,12641,523,508,1031,2238,977,1261,4533,53,9.65,88.1,3.202425856075734,16.552030175282894,433,93.49160565046964,33.525626802751276,0.5155683751201834
05067,"Jackson County, Arkansas",17429,8575,8854,19458,12454,755,361,0,34,14320,1008,681,1689,3592,1794,1798,5612,55,9.93,90.6,2.266337713007057,20.609329278788227,395,82.16191405129382,32.19920821619141,0.4919960984565953
